id,name,description,category,price,city,country
1,Tampflex,nibh in hac habitasse platea dictumst aliquam augue,Arizona - Green Tea,7.42,Xuhui,China
2,Y-find,varius nulla facilisi cras non velit,Shrimp - Black Tiger 26/30,7.10,Kukuluk,Indonesia
3,Transcof,feugiat et eros,Juice - Ocean Spray Cranberry,9.18,Ribeira,Portugal
4,Namfix,vel nisl duis,Ham - Cooked,9.05,Lauro de Freitas,Brazil
5,Bigtax,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,Mints - Striped Red,9.25,Paucar,Peru
6,Domainer,cursus vestibulum proin eu mi nulla ac enim in tempor,Cheese - Blue,8.08,San Diego,United States
7,Tempsoft,eu tincidunt in,"Juice - Pineapple, 48 Oz",1.45,Ban Mai,Thailand
8,Rank,sem praesent id massa id nisl venenatis lacinia,Triple Sec - Mcguinness,9.23,Gading,Indonesia
9,Lotstring,et eros vestibulum ac est lacinia nisi,"Pepper - Black, Ground",5.96,Cabangahan,Philippines
10,Hatity,elit ac nulla sed,Cheese - Wine,3.88,Xiaojia,China
11,Redhold,congue diam id ornare imperdiet sapien urna pretium nisl ut,Noodles - Steamed Chow Mein,7.07,Al Ibrāhīmīyah,Egypt
12,Opela,etiam pretium iaculis justo in hac habitasse platea,Wine - Vovray Sec Domaine Huet,2.85,Chinju,South Korea
13,Zoolab,amet diam in,Cheese - Fontina,2.38,Jamalteca,Honduras
14,Toughjoyfax,fringilla rhoncus mauris,Potatoes - Fingerling 4 Oz,3.48,Dayang,China
15,Ventosanzap,dui luctus rutrum nulla tellus,Jack Daniels,8.09,Mūdīyah,Yemen
16,Matsoft,in blandit ultrices enim lorem ipsum,Oranges,1.68,Lamadong,Indonesia
17,Tres-Zap,ante ipsum primis in faucibus orci luctus et,Muffin Mix - Raisin Bran,8.96,Bonn,Germany
18,Home Ing,nec condimentum neque sapien placerat,Pear - Packum,6.14,Gisiliba,Indonesia
19,Fixflex,hac habitasse platea dictumst maecenas ut massa quis augue luctus,Cherries - Fresh,1.99,Tetyushi,Russia
20,Flexidy,eget vulputate ut,"Pork - Bacon,back Peameal",6.66,Sumurber,Indonesia
21,Domainer,mauris sit amet eros,Juice - Apple Cider,0.50,Donghe,China
22,Tempsoft,ipsum integer a nibh in,Extract - Raspberry,2.43,Puerto López,Colombia
23,Bitwolf,eleifend pede libero quis orci nullam molestie nibh in,Mushroom - Portebello,6.63,Staraya Ladoga,Russia
24,Daltfresh,curabitur gravida nisi at,"Pasta - Penne Primavera, Single",8.73,Hulu,China
25,Quo Lux,at vulputate vitae nisl aenean lectus pellentesque eget,Crab - Imitation Flakes,0.45,Hultsfred,Sweden
26,Konklux,semper interdum mauris ullamcorper purus sit amet nulla,Nantucket - 518ml,2.25,Azteca,Mexico
27,Holdlamis,fermentum donec ut mauris eget massa,Nantucket Apple Juice,8.51,Xiaruyue,China
28,Alpha,porttitor id consequat in consequat ut,Chicken - Tenderloin,4.93,Datian,China
29,Veribet,leo maecenas pulvinar lobortis est phasellus,Carbonated Water - Strawberry,6.74,Dayou,China
30,Asoka,viverra dapibus nulla suscipit ligula in lacus curabitur at,Puree - Passion Fruit,9.92,Akademgorodok,Russia
31,Sonsing,sit amet diam in magna bibendum imperdiet nullam orci pede,Raspberries - Frozen,6.94,Guijalo,Philippines
32,Tres-Zap,vel nulla eget eros elementum pellentesque quisque porta volutpat erat,"Juice - Tomato, 48 Oz",9.70,Trelleborg,Sweden
33,Redhold,auctor gravida sem praesent id massa id nisl,Ecolab - Solid Fusion,0.11,Banjar Parekan,Indonesia
34,Andalax,luctus et ultrices,Chicken Giblets,1.63,Kipini,Kenya
35,Regrant,dui luctus rutrum nulla tellus,"Pasta - Penne Primavera, Single",9.92,Portelândia,Brazil
36,Otcom,molestie sed justo pellentesque viverra pede ac diam,Blackberries,1.81,Tazarine,Morocco
37,Domainer,sagittis nam congue,Pastry - Trippleberry Muffin - Mini,6.37,Haczów,Poland
38,Opela,aenean fermentum donec ut mauris eget massa,Mustard - Seed,3.47,Colquemarca,Peru
39,Cookley,hac habitasse platea dictumst maecenas ut massa quis augue luctus,Soup Campbells,2.11,Lowotukan,Indonesia
40,Duobam,orci pede venenatis non sodales sed tincidunt eu,"Lentils - Red, Dry",9.19,Mojokerto,Indonesia
